urban,age,marital_status,given_birth,dob,dom,age_mar,partner_age,ethnicity,language,birth_year,birth_month,birth_day,marriage_year,marriage_month,marriage_day
2,44,1,1,472,307.0,34,42.0,1,1.0,16,2,26.0,17.0,9.0,22.0
2,24,1,1,1843,1273.0,22,31.0,1,1.0,17,7,30.0,28.0,1.0,27.0
2,23,2,2,473,,NIU,,1,1.0,31,8,24.0,,,
2,28,1,1,826,615.0,22,30.0,4,1.0,19,5,16.0,10.0,10.0,4.0
1,19,2,2,104,,NIU,,1,1.0,27,4,22.0,,,
1,15,2,2,444,,NIU,,1,1.0,35,2,1.0,,,
1,27,2,2,397,,NIU,,1,1.0,30,11,22.0,,,
2,18,2,2,452,,NIU,,5,3.0,25,1,11.0,,,
1,31,1,1,7,5.0,27,41.0,1,1.0,10,1,6.0,6.0,4.0,8.0
1,38,1,2,870,616.0,34,32.0,4,4.0,1,10,25.0,11.0,3.0,30.0
1,31,1,1,25,11.0,25,36.0,1,1.0,10,2,3.0,3.0,4.0,10.0
1,16,2,2,448,,NIU,,1,1.0,32,8,11.0,,,
1,22,2,2,905,,NIU,,2,2.0,23,4,2.0,,,
1,20,2,2,424,,NIU,,1,1.0,27,1,7.0,,,
1,44,1,1,141,120.0,24,47.0,1,1.0,16,5,28.0,2.0,2.0,8.0
1,37,1,1,487,258.0,16,45.0,4,1.0,13,5,4.0,2.0,6.0,6.0
1,31,1,1,1524,1431.0,24,47.0,1,1.0,18,3,10.0,8.0,5.0,16.0
2,30,1,1,409,224.0,18,33.0,1,1.0,10,12,18.0,16.0,4.0,17.0
1,25,2,2,539,,NIU,,1,1.0,29,7,1.0,,,
2,19,2,2,904,,NIU,,1,1.0,28,7,20.0,,,
1,39,3,1,161,63.0,27,,1,1.0,2,3,3.0,16.0,2.0,6.0
1,22,2,2,205,,NIU,,4,4.0,23,5,15.0,,,
1,37,1,1,223,1430.0,26,37.0,1,1.0,13,10,4.0,20.0,3.0,18.0
2,21,2,2,1525,,NIU,,1,1.0,21,2,10.0,,,
1,20,2,2,408,,NIU,,1,1.0,21,12,8.0,,,
1,20,2,2,1460,,NIU,,1,1.0,27,7,6.0,,,
1,40,3,1,374,223.0,25,,1,1.0,12,12,13.0,9.0,3.0,12.0
2,19,2,2,19,,NIU,,1,1.0,27,9,14.0,,,
2,24,2,2,75,,NIU,,1,1.0,17,10,1.0,,,
1,38,1,1,41,476.0,24,39.0,3,1.0,1,9,16.0,5.0,1.0,5.0
1,20,2,2,254,,NIU,,1,1.0,21,12,31.0,,,
1,48,3,1,1748,1424.0,29,,1,1.0,3,4,6.0,1.0,2.0,11.0
1,19,2,2,1222,,NIU,,1,1.0,28,2,1.0,,,
2,24,3,1,277,216.0,20,,1,1.0,17,8,3.0,6.0,6.0,20.0
1,30,1,1,215,140.0,25,32.0,1,1.0,10,4,29.0,3.0,5.0,9.0
1,38,2,2,451,,NIU,,1,1.0,1,5,8.0,,,
1,48,1,1,36,196.0,20,62.0,1,1.0,6,4,10.0,29.0,1.0,20.0
1,27,1,1,2311,1509.0,22,35.0,1,1.0,30,2,31.0,3.0,5.0,12.0
1,39,1,1,1461,882.0,21,49.0,1,1.0,24,4,12.0,21.0,5.0,14.0
2,33,1,2,157,42.0,26,33.0,1,1.0,22,4,30.0,10.0,1.0,5.0
2,33,1,1,796,444.0,16,42.0,1,1.0,15,4,28.0,21.0,1.0,9.0
2,28,2,2,2342,,NIU,,1,1.0,34,12,9.0,,,
2,42,1,1,1526,1448.0,18,48.0,5,3.0,20,12,2.0,14.0,6.0,30.0
1,46,1,1,1456,863.0,22,45.0,1,1.0,4,2,3.0,14.0,3.0,28.0
1,39,1,1,269,1.0,24,41.0,1,1.0,24,7,29.0,9.0,2.0,1.0
1,18,2,2,743,,NIU,,1,1.0,28,12,1.0,,,
2,30,1,1,754,864.0,22,33.0,1,1.0,9,11,4.0,8.0,7.0,20.0
1,22,2,2,2314,,NIU,,1,1.0,23,4,18.0,,,
2,24,2,2,462,,NIU,,1,1.0,17,10,9.0,,,
2,37,1,1,292,442.0,27,37.0,1,1.0,13,7,14.0,4.0,3.0,6.0
1,31,1,1,1457,865.0,19,32.0,1,1.0,10,2,31.0,20.0,4.0,30.0
1,32,1,1,875,1490.0,24,34.0,1,1.0,22,4,18.0,17.0,12.0,1.0
2,23,2,2,261,,NIU,,4,1.0,17,9,20.0,,,
2,21,2,2,159,,NIU,,1,1.0,21,7,16.0,,,
2,35,1,1,28,1.0,20,45.0,1,1.0,5,3,27.0,9.0,2.0,1.0
1,20,2,2,137,,NIU,,1,1.0,21,9,12.0,,,
1,22,2,2,1453,,NIU,,2,1.0,23,8,5.0,,,
1,46,1,1,914,866.0,19,49.0,1,1.0,8,3,15.0,23.0,6.0,20.0
1,24,2,2,1023,,NIU,,1,1.0,17,1,27.0,,,
2,32,1,1,913,631.0,21,40.0,1,1.0,18,1,14.0,20.0,2.0,18.0
1,46,1,1,807,432.0,27,46.0,1,1.0,4,9,13.0,1.0,5.0,19.0
1,18,2,2,69,,NIU,,4,1.0,25,10,2.0,,,
2,49,1,1,410,221.0,14,57.0,1,1.0,36,4,4.0,36.0,7.0,19.0
1,15,2,2,16,,NIU,,1,1.0,35,10,11.0,,,
1,34,1,1,2313,1496.0,20,36.0,1,1.0,15,8,13.0,7.0,7.0,27.0
1,36,1,1,140,302.0,23,39.0,1,1.0,13,12,3.0,5.0,2.0,6.0
2,24,2,2,361,,NIU,,1,1.0,17,1,19.0,,,
1,32,1,1,898,732.0,25,37.0,1,1.0,18,1,25.0,8.0,3.0,11.0
1,25,2,2,11,,NIU,,1,1.0,26,3,24.0,,,
2,37,1,1,797,431.0,21,39.0,1,1.0,13,9,2.0,13.0,3.0,31.0
1,37,1,1,2312,319.0,20,37.0,1,1.0,1,3,29.0,21.0,2.0,9.0
1,41,1,1,1424,832.0,33,48.0,1,1.0,14,12,13.0,12.0,5.0,19.0
1,27,2,2,397,,NIU,,1,1.0,30,11,22.0,,,
1,36,1,1,371,226.0,29,37.0,1,1.0,13,12,16.0,8.0,12.0,6.0
2,23,2,2,474,,NIU,,1,1.0,31,2,27.0,,,
1,15,2,2,457,,NIU,,1,1.0,32,3,14.0,,,
1,44,1,1,39,592.0,20,45.0,1,1.0,11,4,9.0,14.0,2.0,29.0
1,38,3,1,458,303.0,18,,5,1.0,1,2,4.0,2.0,8.0,12.0
1,30,1,1,1017,588.0,21,34.0,1,1.0,9,11,20.0,17.0,11.0,16.0
2,24,2,2,462,,NIU,,1,1.0,17,10,9.0,,,
1,23,2,2,963,,NIU,,1,1.0,31,11,19.0,,,
1,21,2,2,972,,NIU,,1,1.0,21,9,1.0,,,
2,23,2,2,962,,NIU,,1,1.0,31,2,7.0,,,
1,30,1,2,459,304.0,23,36.0,1,1.0,9,6,20.0,8.0,11.0,18.0
1,45,1,1,356,138.0,25,46.0,2,1.0,11,6,9.0,2.0,3.0,10.0
1,37,3,1,725,507.0,25,,1,1.0,13,5,9.0,16.0,1.0,8.0
1,48,3,2,768,430.0,19,,1,1.0,3,7,24.0,30.0,3.0,26.0
1,17,2,2,767,,NIU,,1,1.0,33,1,23.0,,,
1,40,3,1,961,673.0,24,,4,1.0,2,1,29.0,13.0,12.0,9.0
1,18,2,2,460,,NIU,,1,1.0,28,9,7.0,,,
1,48,3,1,932,577.0,29,,1,1.0,3,6,29.0,22.0,10.0,18.0
1,33,1,1,1519,1455.0,19,35.0,1,1.0,22,8,3.0,7.0,8.0,29.0
1,31,1,1,1455,1454.0,22,38.0,2,1.0,10,11,13.0,12.0,1.0,22.0
1,30,2,2,1520,,NIU,,2,1.0,9,5,14.0,,,
1,34,1,2,1521,1453.0,20,39.0,1,1.0,15,2,27.0,7.0,3.0,14.0
1,18,2,2,1522,,NIU,,1,1.0,25,5,22.0,,,
1,24,2,2,2315,,NIU,,1,1.0,17,9,7.0,,,
2,43,1,1,389,429.0,34,45.0,1,1.0,20,2,28.0,17.0,1.0,29.0
1,48,2,2,388,,NIU,,1,1.0,6,12,1.0,,,
1,19,2,2,480,,NIU,,1,1.0,27,3,8.0,,,
1,32,1,1,564,62.0,30,41.0,1,1.0,22,3,9.0,25.0,6.0,21.0
1,41,1,1,1402,833.0,19,53.0,1,1.0,12,10,29.0,15.0,2.0,13.0
1,49,1,1,803,491.0,19,59.0,1,1.0,6,7,17.0,31.0,10.0,16.0
2,35,1,1,24,513.0,26,38.0,1,1.0,7,8,15.0,17.0,9.0,16.0
1,41,1,1,979,674.0,14,59.0,5,1.0,12,9,4.0,23.0,3.0,20.0
1,29,1,1,1601,1452.0,27,29.0,1,1.0,34,1,3.0,25.0,3.0,5.0
1,44,1,1,790,52.0,22,51.0,1,1.0,16,1,11.0,18.0,1.0,1.0
2,37,1,1,1111,406.0,25,40.0,1,1.0,13,2,14.0,16.0,10.0,7.0
1,34,1,1,1602,1451.0,25,39.0,1,1.0,15,5,11.0,17.0,4.0,24.0
1,45,1,1,1403,834.0,21,52.0,1,1.0,4,9,23.0,27.0,3.0,27.0
2,42,1,1,1404,803.0,23,62.0,1,2.0,14,9,27.0,22.0,12.0,5.0
1,44,1,1,770,51.0,19,47.0,5,3.0,16,6,22.0,27.0,9.0,16.0
1,25,2,2,406,,NIU,,1,1.0,29,9,22.0,,,
1,24,2,2,90,,NIU,,1,1.0,17,1,29.0,,,
1,44,1,1,842,97.0,28,45.0,2,1.0,16,7,11.0,13.0,5.0,12.0
2,24,1,1,479,327.0,18,27.0,1,1.0,17,8,14.0,10.0,3.0,2.0
1,27,2,2,2,,NIU,,1,1.0,19,3,15.0,,,
2,28,2,2,139,,NIU,,1,1.0,19,2,8.0,,,
1,27,1,1,220,104.0,20,36.0,1,1.0,30,5,22.0,8.0,8.0,18.0
1,18,2,2,98,,NIU,,1,1.0,25,2,5.0,,,
2,17,2,2,456,,NIU,,4,1.0,33,1,21.0,,,
2,39,1,1,2316,1511.0,16,44.0,3,,24,9,2.0,15.0,9.0,6.0
1,44,2,2,769,,NIU,,1,1.0,16,5,25.0,,,
2,23,2,2,111,,NIU,,1,1.0,17,9,14.0,,,
1,37,1,1,1423,811.0,33,37.0,1,1.0,13,2,28.0,11.0,1.0,8.0
1,48,1,1,199,118.0,22,48.0,1,1.0,3,4,4.0,27.0,5.0,17.0
1,31,1,1,1380,812.0,26,34.0,2,1.0,18,4,5.0,3.0,1.0,26.0
2,40,2,2,198,,NIU,,1,1.0,2,6,22.0,,,
2,29,1,1,2298,1501.0,22,35.0,1,5.0,34,9,25.0,10.0,7.0,10.0
1,33,1,1,275,186.0,20,37.0,1,1.0,22,10,26.0,5.0,8.0,3.0
1,18,2,2,40,,NIU,,1,1.0,25,11,17.0,,,
1,28,2,2,21,,NIU,,2,1.0,19,11,28.0,,,
2,18,2,2,968,,NIU,,1,1.0,28,12,11.0,,,
2,33,3,1,733,424.0,24,,1,1.0,15,3,5.0,17.0,3.0,22.0
2,32,1,1,1063,641.0,24,37.0,1,1.0,22,3,16.0,17.0,11.0,9.0
1,36,1,1,1634,813.0,24,33.0,1,1.0,5,1,28.0,16.0,2.0,24.0
1,19,1,1,612,294.0,13,21.0,5,3.0,28,6,2.0,10.0,2.0,20.0
2,30,1,1,1438,1016.0,20,44.0,1,1.0,9,9,28.0,4.0,12.0,17.0
1,43,2,2,1354,,NIU,,1,1.0,16,4,8.0,,,
2,16,2,2,1662,,NIU,,1,1.0,32,11,23.0,,,
2,18,2,2,1083,,NIU,,1,1.0,25,8,9.0,,,
1,27,2,2,449,,NIU,,1,1.0,30,9,21.0,,,
2,49,1,1,1355,831.0,21,53.0,2,1.0,6,6,19.0,29.0,12.0,1.0
1,31,2,2,1356,,NIU,,1,1.0,10,5,7.0,,,
2,32,2,2,948,,NIU,,2,1.0,22,3,20.0,,,
1,35,1,1,755,524.0,21,38.0,1,1.0,7,10,26.0,7.0,1.0,4.0
1,29,1,1,2297,1500.0,24,33.0,1,1.0,34,9,14.0,3.0,11.0,28.0
1,22,2,2,2296,,NIU,,1,1.0,23,7,25.0,,,
1,46,1,1,1570,1457.0,19,51.0,1,1.0,4,10,11.0,23.0,3.0,16.0
1,42,1,1,1726,1411.0,19,44.0,1,1.0,14,5,4.0,15.0,9.0,1.0
2,46,1,1,914,439.0,21,51.0,1,1.0,8,3,15.0,19.0,12.0,29.0
2,31,1,1,2302,317.0,21,41.0,4,1.0,18,4,31.0,4.0,10.0,7.0
1,28,1,1,377,1456.0,26,28.0,1,1.0,19,6,4.0,25.0,11.0,31.0
2,43,1,1,574,263.0,18,46.0,1,1.0,20,5,1.0,27.0,4.0,19.0
2,45,1,1,493,309.0,21,48.0,1,1.0,11,5,29.0,14.0,5.0,21.0
2,24,2,1,716,,NIU,,2,2.0,29,3,10.0,,,
1,49,1,1,803,491.0,19,59.0,1,1.0,6,7,17.0,31.0,10.0,16.0
1,35,1,1,1322,536.0,25,34.0,2,1.0,7,9,8.0,4.0,3.0,14.0
1,38,1,1,2301,1499.0,27,39.0,1,1.0,1,8,18.0,20.0,1.0,9.0
1,38,2,2,980,,NIU,,1,1.0,1,11,27.0,,,
1,24,2,2,910,,NIU,,1,1.0,17,4,26.0,,,
1,39,1,1,2300,1498.0,25,43.0,1,1.0,24,5,27.0,7.0,4.0,26.0
1,44,1,1,494,310.0,21,46.0,1,1.0,16,6,10.0,24.0,9.0,8.0
1,15,2,2,457,,NIU,,1,1.0,32,3,14.0,,,
2,42,1,1,747,52.0,21,48.0,2,1.0,14,8,1.0,18.0,1.0,1.0
1,40,1,2,2299,1497.0,22,40.0,1,1.0,2,8,18.0,1.0,7.0,4.0
1,34,2,2,225,,NIU,,1,1.0,15,2,5.0,,,
2,37,1,1,746,661.0,23,38.0,1,1.0,1,12,7.0,7.0,1.0,13.0
1,24,2,2,197,,NIU,,1,1.0,17,1,20.0,,,
1,45,1,1,315,441.0,19,48.0,1,1.0,11,1,5.0,27.0,4.0,24.0
1,28,2,2,21,,NIU,,2,1.0,19,11,28.0,,,
2,44,1,1,495,311.0,22,48.0,1,1.0,16,2,7.0,15.0,5.0,3.0
1,27,2,2,734,,NIU,,1,1.0,19,4,18.0,,,
1,35,1,1,1307,805.0,26,38.0,1,1.0,7,4,29.0,12.0,9.0,9.0
2,19,2,2,528,,NIU,,2,1.0,28,8,9.0,,,
2,42,1,1,35,676.0,18,45.0,1,1.0,14,8,2.0,14.0,5.0,29.0
1,45,1,1,719,522.0,24,47.0,1,1.0,4,12,7.0,18.0,9.0,6.0
1,29,1,1,2280,1532.0,27,33.0,1,1.0,34,1,8.0,28.0,6.0,9.0
1,22,2,2,217,,NIU,,1,1.0,23,9,30.0,,,
2,23,1,1,1308,806.0,21,24.0,1,1.0,31,4,15.0,25.0,3.0,8.0
1,34,1,1,221,1423.0,24,37.0,1,1.0,15,9,5.0,17.0,1.0,19.0
2,32,3,1,2279,1531.0,26,,1,1.0,22,4,14.0,10.0,5.0,27.0
1,48,1,1,27,18.0,27,52.0,1,1.0,3,1,21.0,2.0,5.0,9.0
1,37,1,1,998,677.0,18,46.0,1,1.0,1,12,16.0,2.0,11.0,2.0
2,38,1,1,81,185.0,15,45.0,1,1.0,1,2,19.0,24.0,10.0,1.0
2,21,2,2,295,,NIU,,1,1.0,21,5,12.0,,,
1,36,1,1,219,113.0,16,41.0,1,1.0,5,8,28.0,2.0,7.0,1.0
2,47,1,1,186,73.0,18,58.0,1,1.0,8,2,29.0,30.0,11.0,3.0
1,24,2,2,1357,,NIU,,1,1.0,29,12,18.0,,,
2,29,2,2,702,,NIU,,1,1.0,9,3,11.0,,,
2,46,1,1,38,77.0,23,50.0,1,1.0,4,6,6.0,24.0,6.0,24.0
1,49,2,2,126,,NIU,,1,1.0,6,4,24.0,,,
1,49,1,1,93,551.0,28,54.0,1,1.0,36,4,8.0,18.0,5.0,27.0
2,28,1,1,1725,1394.0,25,28.0,1,1.0,19,8,21.0,25.0,6.0,6.0
1,33,1,1,63,36.0,21,39.0,1,1.0,22,4,29.0,20.0,8.0,10.0
1,41,1,1,74,168.0,20,46.0,1,1.0,12,8,22.0,18.0,1.0,13.0
1,44,3,2,529,250.0,20,,1,1.0,11,3,24.0,14.0,4.0,28.0
1,28,1,1,596,279.0,21,28.0,1,1.0,19,7,9.0,8.0,2.0,29.0
1,42,2,2,10,,NIU,,1,1.0,14,7,7.0,,,
2,35,2,2,1309,,NIU,,1,1.0,7,9,7.0,,,
2,47,3,1,355,165.0,17,,1,1.0,3,4,17.0,31.0,8.0,17.0
2,37,1,1,344,191.0,22,50.0,4,1.0,13,11,28.0,9.0,2.0,16.0
1,45,1,1,982,705.0,32,47.0,1,1.0,11,6,14.0,5.0,11.0,15.0
1,48,1,2,692,407.0,43,49.0,1,1.0,3,10,27.0,3.0,2.0,7.0
1,44,1,1,251,115.0,26,45.0,1,1.0,16,9,16.0,1.0,12.0,24.0
1,20,2,2,1021,,NIU,,1,1.0,27,8,8.0,,,
1,39,1,1,79,98.0,18,43.0,5,1.0,24,6,7.0,18.0,2.0,4.0
1,43,2,2,1717,,NIU,,1,1.0,20,7,4.0,,,
2,32,1,1,1070,64.0,30,44.0,1,1.0,22,3,29.0,25.0,4.0,12.0
1,39,1,1,52,124.0,19,44.0,1,1.0,24,7,21.0,22.0,6.0,27.0
2,17,1,1,924,549.0,16,39.0,2,1.0,25,12,9.0,28.0,10.0,4.0
2,48,1,1,250,127.0,29,48.0,1,1.0,3,8,25.0,1.0,6.0,14.0
2,47,3,1,355,165.0,17,,1,1.0,3,4,17.0,31.0,8.0,17.0
1,35,1,1,1326,1391.0,29,37.0,1,1.0,7,7,10.0,10.0,8.0,21.0
1,44,1,1,308,787.0,21,46.0,3,,16,2,10.0,24.0,2.0,3.0
1,39,1,1,226,218.0,18,38.0,1,1.0,24,7,6.0,2.0,4.0,9.0
1,38,3,1,110,49.0,21,,1,1.0,1,6,22.0,21.0,3.0,6.0
2,24,2,2,462,,NIU,,1,1.0,17,10,9.0,,,
1,37,1,1,51,187.0,22,53.0,1,1.0,1,3,21.0,9.0,1.0,11.0
1,38,1,2,1718,1372.0,30,38.0,1,1.0,1,10,15.0,12.0,7.0,13.0
2,49,1,1,703,1031.0,20,53.0,1,1.0,6,8,25.0,30.0,7.0,11.0
1,24,2,2,197,,NIU,,1,1.0,17,1,20.0,,,
2,37,1,1,2284,1574.0,34,34.0,1,1.0,13,2,6.0,6.0,10.0,21.0
1,15,2,2,16,,NIU,,1,1.0,35,10,11.0,,,
2,36,1,1,846,397.0,24,39.0,1,1.0,5,9,16.0,20.0,4.0,6.0
1,33,1,1,2283,1573.0,28,33.0,1,1.0,15,12,15.0,3.0,1.0,30.0
1,37,1,1,2282,1572.0,28,40.0,1,1.0,13,1,12.0,12.0,1.0,6.0
1,41,1,1,127,31.0,18,43.0,1,1.0,12,2,8.0,15.0,4.0,1.0
1,17,2,2,1072,,NIU,,4,4.0,33,7,22.0,,,
1,35,3,2,1066,709.0,28,,2,2.0,7,6,25.0,8.0,8.0,9.0
1,31,1,1,1719,1397.0,25,31.0,2,2.0,10,1,10.0,3.0,9.0,15.0
1,37,1,1,1303,927.0,21,43.0,1,1.0,13,7,12.0,13.0,12.0,11.0
2,42,1,1,565,349.0,24,53.0,1,1.0,14,10,20.0,1.0,2.0,13.0
2,21,2,2,150,,NIU,,1,1.0,21,10,24.0,,,
1,40,1,1,50,253.0,20,41.0,1,1.0,2,2,17.0,2.0,8.0,7.0
1,32,1,1,1720,252.0,26,35.0,1,1.0,18,6,4.0,10.0,5.0,1.0
2,49,1,1,2281,1561.0,20,53.0,1,1.0,6,7,8.0,30.0,11.0,9.0
1,15,2,2,559,,NIU,,1,1.0,35,6,24.0,,,
1,20,1,2,19,54.0,19,21.0,1,1.0,27,9,14.0,26.0,9.0,10.0
2,49,1,1,527,13.0,18,56.0,1,1.0,6,11,3.0,31.0,9.0,10.0
1,33,1,1,63,36.0,21,39.0,1,1.0,22,4,29.0,20.0,8.0,10.0
2,23,2,2,557,,NIU,,3,,31,7,15.0,,,
2,22,3,1,1030,703.0,14,,1,1.0,23,9,18.0,8.0,7.0,8.0
2,43,1,1,1264,773.0,23,44.0,1,1.0,20,2,6.0,2.0,3.0,31.0
1,24,2,2,497,,NIU,,1,1.0,17,7,24.0,,,
2,16,2,2,174,,NIU,,1,1.0,33,3,23.0,,,
1,29,1,1,1265,160.0,26,28.0,1,1.0,34,2,28.0,6.0,1.0,9.0
1,22,2,2,1266,,NIU,,1,1.0,23,10,19.0,,,
1,38,1,2,103,45.0,25,37.0,1,1.0,1,8,5.0,5.0,10.0,9.0
2,37,1,1,14,2.0,18,43.0,1,1.0,13,10,14.0,1.0,9.0,5.0
1,25,1,1,2263,1560.0,21,29.0,1,1.0,26,3,6.0,11.0,2.0,27.0
1,46,2,2,252,,NIU,,1,1.0,4,9,22.0,,,
2,35,1,1,28,1.0,20,45.0,1,1.0,5,3,27.0,9.0,2.0,1.0
1,20,1,2,19,54.0,19,21.0,1,1.0,27,9,14.0,26.0,9.0,10.0
1,20,2,2,137,,NIU,,1,1.0,21,9,12.0,,,
1,22,2,2,171,,NIU,,1,1.0,31,12,8.0,,,
1,36,1,1,140,302.0,23,39.0,1,1.0,13,12,3.0,5.0,2.0,6.0
2,39,3,2,639,404.0,29,,1,1.0,24,5,13.0,4.0,11.0,17.0
1,19,2,2,104,,NIU,,1,1.0,27,4,22.0,,,
1,49,1,1,533,704.0,26,49.0,1,1.0,36,4,2.0,24.0,2.0,28.0
1,26,1,1,534,264.0,20,26.0,1,1.0,26,10,2.0,3.0,4.0,5.0
2,47,1,1,173,96.0,21,53.0,1,1.0,8,10,26.0,19.0,2.0,30.0
1,32,1,1,1267,774.0,27,35.0,1,1.0,18,10,13.0,3.0,11.0,15.0
2,49,1,1,349,174.0,17,52.0,1,1.0,6,1,27.0,32.0,7.0,26.0
1,28,1,1,172,775.0,26,29.0,1,1.0,19,11,30.0,28.0,5.0,28.0
1,35,1,1,24,286.0,28,35.0,3,,7,8,15.0,8.0,3.0,30.0
1,36,1,1,787,401.0,22,42.0,1,1.0,5,11,17.0,5.0,1.0,30.0
1,47,1,1,23,20.0,26,47.0,2,1.0,8,8,11.0,18.0,5.0,7.0
2,30,1,1,1779,647.0,18,35.0,1,1.0,10,12,1.0,16.0,4.0,20.0
1,41,1,1,83,316.0,22,42.0,1,2.0,12,7,15.0,22.0,5.0,5.0
1,35,1,1,757,1559.0,26,37.0,1,1.0,7,9,12.0,12.0,10.0,9.0
2,24,3,1,277,216.0,20,,1,1.0,17,8,3.0,6.0,6.0,20.0
1,44,1,2,1807,1396.0,38,47.0,1,1.0,16,4,14.0,3.0,5.0,27.0
1,23,2,2,381,,NIU,,1,1.0,17,3,24.0,,,
1,35,1,1,24,286.0,28,35.0,3,,7,8,15.0,8.0,3.0,30.0
2,32,2,2,285,,NIU,,1,1.0,18,6,22.0,,,
2,27,3,2,1103,281.0,22,,1,1.0,19,12,30.0,3.0,1.0,24.0
1,17,2,2,201,,NIU,,1,1.0,33,4,27.0,,,
2,31,2,2,693,,NIU,,1,1.0,10,2,10.0,,,
1,45,3,1,1829,1395.0,36,,1,1.0,4,12,31.0,17.0,1.0,5.0
1,44,1,1,39,592.0,20,45.0,1,1.0,11,4,9.0,14.0,2.0,29.0
2,22,2,2,9,,NIU,,1,1.0,23,5,23.0,,,
1,33,1,1,665,262.0,20,41.0,1,1.0,15,12,28.0,5.0,6.0,13.0
2,36,1,1,400,169.0,16,37.0,1,1.0,5,6,18.0,2.0,5.0,28.0
2,44,1,1,328,173.0,24,60.0,2,1.0,16,8,7.0,2.0,2.0,12.0
1,35,2,2,750,,NIU,,1,1.0,5,3,9.0,,,
1,49,1,1,1214,1335.0,19,51.0,4,1.0,6,1,10.0,31.0,8.0,11.0
2,25,2,2,664,,NIU,,2,2.0,29,1,9.0,,,
1,22,2,2,1866,,NIU,,1,1.0,31,12,11.0,,,
2,33,1,1,1215,1595.0,23,36.0,1,1.0,22,11,4.0,17.0,9.0,2.0
1,23,1,2,1033,267.0,19,26.0,1,1.0,31,10,28.0,11.0,3.0,29.0
2,34,1,2,532,260.0,24,34.0,1,1.0,15,10,19.0,4.0,10.0,24.0
2,45,1,1,2265,1594.0,22,45.0,1,1.0,11,7,13.0,24.0,5.0,22.0
1,20,1,2,726,443.0,19,25.0,1,1.0,27,10,7.0,26.0,9.0,28.0
2,34,2,2,1778,,NIU,,1,1.0,15,4,27.0,,,
1,46,1,1,99,388.0,27,47.0,3,,4,5,28.0,22.0,1.0,14.0
1,38,2,2,1,,NIU,,1,1.0,1,1,25.0,,,
1,26,2,2,1032,,NIU,,1,1.0,26,8,17.0,,,
2,29,1,1,2264,170.0,21,29.0,1,1.0,34,2,10.0,12.0,12.0,12.0
1,30,2,2,1263,,NIU,,2,1.0,9,1,27.0,,,
1,39,1,1,1031,723.0,25,40.0,1,1.0,24,6,25.0,7.0,8.0,28.0
2,25,1,1,2266,1360.0,19,31.0,1,1.0,26,3,4.0,10.0,1.0,15.0
2,22,2,2,288,,NIU,,2,1.0,23,9,25.0,,,
1,33,1,2,100,93.0,26,39.0,1,1.0,22,5,23.0,8.0,4.0,15.0
1,32,1,1,546,266.0,18,42.0,1,1.0,18,8,21.0,7.0,9.0,7.0
1,17,2,2,654,,NIU,,1,1.0,33,2,27.0,,,
2,15,2,2,16,,NIU,,1,1.0,35,10,11.0,,,
1,23,2,2,1044,,NIU,,1,1.0,31,1,21.0,,,
2,21,2,2,145,,NIU,,2,1.0,21,8,24.0,,,
1,34,1,1,238,1359.0,18,41.0,4,1.0,15,7,25.0,13.0,10.0,12.0
2,28,2,2,1013,,NIU,,1,1.0,19,1,24.0,,,
1,43,1,1,1198,783.0,25,42.0,1,1.0,20,10,13.0,1.0,2.0,16.0
1,42,1,1,35,60.0,21,42.0,1,1.0,14,8,2.0,18.0,2.0,19.0
1,15,2,2,940,,NIU,,1,1.0,35,1,4.0,,,
1,36,1,1,371,226.0,29,37.0,1,1.0,13,12,16.0,8.0,12.0,6.0
2,19,2,2,61,,NIU,,1,1.0,27,4,3.0,,,
1,30,1,2,459,304.0,23,36.0,1,1.0,9,6,20.0,8.0,11.0,18.0
2,45,1,1,332,721.0,30,44.0,1,1.0,11,5,17.0,9.0,3.0,30.0
2,32,1,1,66,15.0,19,39.0,4,1.0,18,2,22.0,5.0,2.0,29.0
1,45,1,1,1199,780.0,20,52.0,1,1.0,11,5,20.0,14.0,9.0,1.0
2,34,1,1,221,394.0,25,41.0,1,1.0,15,9,5.0,12.0,8.0,7.0
2,23,2,2,1064,,NIU,,1,1.0,31,6,22.0,,,
2,48,1,1,1883,1343.0,15,51.0,5,3.0,3,7,14.0,33.0,7.0,3.0
2,43,1,1,653,393.0,18,43.0,1,1.0,20,1,1.0,14.0,1.0,31.0
1,45,1,1,363,781.0,18,48.0,1,1.0,11,10,28.0,19.0,6.0,25.0
1,24,2,2,90,,NIU,,1,1.0,17,1,29.0,,,
2,25,2,2,664,,NIU,,2,2.0,29,1,9.0,,,
1,39,1,1,26,28.0,26,38.0,1,,2,3,24.0,5.0,5.0,18.0
1,41,1,1,652,390.0,21,43.0,4,4.0,12,6,7.0,2.0,4.0,20.0
1,18,2,2,1200,,NIU,,1,1.0,25,7,26.0,,,
2,48,1,1,549,94.0,32,56.0,3,1.0,6,3,4.0,13.0,9.0,24.0
1,38,1,1,666,389.0,22,45.0,1,1.0,1,10,18.0,13.0,12.0,4.0
1,23,2,2,1047,,NIU,,1,1.0,31,10,6.0,,,
2,28,3,1,1828,1032.0,22,,1,1.0,19,9,20.0,3.0,7.0,3.0
1,35,2,2,750,,NIU,,1,1.0,5,3,9.0,,,
1,38,1,2,6,3.0,31,37.0,1,1.0,1,11,10.0,10.0,5.0,30.0
